SentimentText,Sentiment
The wine was undercooked and disappointing.,0
The pork belly was absolutely splendid.,1
The hummus was unpleasant and disappointing.,0
The salad was absolutely great.,1
The pancakes was flavorless and disappointing.,0
The cocktails was absolutely fabulous.,1
The shrimp was unpleasant and disappointing.,0
The fish was overpriced and disappointing.,0
The caesar salad was absolutely wonderful.,1
The sushi was appalling and disappointing.,0
The lobster was absolutely enjoyable.,1
The reservation process was seamless and easy.,1
The chicken was revolting and disappointing.,0
The lobster was absolutely incredible.,1
The salmon was absolutely superb.,1
The lamb was absolutely exquisite.,1
The pasta was overcooked and disappointing.,0
The calamari was rubbery and disappointing.,0
The salad was terrible and disappointing.,0
The beef was absolutely fabulous.,1
The quesadilla was stale and disappointing.,0
The avocado toast was cold and disappointing.,0
The wine was absolutely terrific.,1
The lobster was absolutely exceptional.,1
The risotto was undercooked and disappointing.,0
The carbonara was absolutely lovely.,1
The coffee was cold and disappointing.,0
The cocktails was absolutely spectacular.,1
The cheesecake was absolutely perfect.,1
The curry was dreadful and disappointing.,0
The salad was disgusting and disappointing.,0
The french toast was awful and disappointing.,0
The risotto was absolutely delicious.,1
The dumplings was rubbery and disappointing.,0
The avocado toast was absolutely outstanding.,1
The lasagna was mediocre and disappointing.,0
The paella was unpleasant and disappointing.,0
The lobster bisque was disappointing and disappointing.,0
The food quality has clearly declined since our last visit.,0
The french toast was absolutely incredible.,1
The risotto was absolutely fantastic.,1
The pasta was absolutely marvelous.,1
The cocktails was absolutely wonderful.,1
The brunch was absolutely amazing.,1
The wine was rubbery and disappointing.,0
The falafel was terrible and disappointing.,0
The pad thai was absolutely superb.,1
The bread was absolutely superb.,1
The beef was flavorless and disappointing.,0
The lobster was absolutely great.,1
The salmon was flavorless and disappointing.,0
The beef was absolutely superb.,1
The waffles was undercooked and disappointing.,0
The hummus was absolutely phenomenal.,1
The brunch was appalling and disappointing.,0
The pasta was awful and disappointing.,0
The nachos was undercooked and disappointing.,0
The lobster was poor and disappointing.,0
The chicken was absolutely phenomenal.,1
The steak was absolutely fantastic.,1
The cocktails was tasteless and disappointing.,0
The risotto was greasy and disappointing.,0
The ramen was absolutely terrific.,1
The crab cakes was absolutely wonderful.,1
The falafel was stale and disappointing.,0
